ID,district_name,province,coords_lat,coords_lng,distance_to_capital_km_norm,population_total_norm,population_growth_5y_norm,population_density_norm,urbanisation_index,num_major_towns_100k_norm,largest_town_pop_share,market_access_index,nightlight_intensity,  health_facilities_per_100k_norm, schools_per_100k_norm,university_or_college_count_norm,  road_quality_index,electricity_access_rate_norm,water_access_rate_norm,  median_rent_index,avg_income_index, informal_sector_share_norm,safety_index,green_cover_index,is_provincial_capital,is_border_district
90,Namwala,,,,,,,,,,,,,,,,,,,,,,,,,
91,Pemba,,,,,,,,,,,,,,,,,,,,,,,,,
92,Sinazongwe,,,,,,,,,,,,,,,,,,,,,,,,,
93,Kaoma,,,,,,,,,,,,,,,,,,,,,,,,,
94,Lukulu,,,,,,,,,,,,,,,,,,,,,,,,,
95,Mongu,,,,,,,,,,,,,,,,,,,,,,,,,
96,Nalolo,,,,,,,,,,,,,,,,,,,,,,,,,
97,Nkeyema,,,,,,,,,,,,,,,,,,,,,,,,,
98,Sesheke,,,,,,,,,,,,,,,,,,,,,,,,,
99,Sikongo,,,,,,,,,,,,,,,,,,,,,,,,,
100,Sinjembela,,,,,,,,,,,,,,,,,,,,,,,,,
101,Shang’ombo,,,,,,,,,,,,,,,,,,,,,,,,,
102,Sioma,,,,,,,,,,,,,,,,,,,,,,,,,
103,Luampa,,,,,,,,,,,,,,,,,,,,,,,,,
104,Limulunga,,,,,,,,,,,,,,,,,,,,,,,,,
105,Shiwang’andu,,,,,,,,,,,,,,,,,,,,,,,,,
106,Manyinga,,,,,,,,,,,,,,,,,,,,,,,,,
107,Kasempa,,,,,,,,,,,,,,,,,,,,,,,,,
108,Chikankata,,,,,,,,,,,,,,,,,,,,,,,,,
109,Itezhi-Tezhi,,,,,,,,,,,,,,,,,,,,,,,,,
110,Mwinilunga,,,,,,,,,,,,,,,,,,,,,,,,,
111,Chirundu,,,,,,,,,,,,,,,,,,,,,,,,,
112,Mazabuka,,,,,,,,,,,,,,,,,,,,,,,,,
113,Siavonga,,,,,,,,,,,,,,,,,,,,,,,,,
114,Zimba,,,,,,,,,,,,,,,,,,,,,,,,,
115,Kalabo,,,,,,,,,,,,,,,,,,,,,,,,,
116,Mitete,,,,,,,,,,,,,,,,,,,,,,,,,
117,Mulobezi,,,,,,,,,,,,,,,,,,,,,,,,,
118,Mwandi,,,,,,,,,,,,,,,,,,,,,,,,,
119,Senanga,,,,,,,,,,,,,,,,,,,,,,,,,
120,Sioma,,,,,,,,,,,,,,,,,,,,,,,,,
